4way time (us),activity,alias,anqp time (us),ap,avg chain rssi,beacon,bps rx,bps rx ll,bps tx,bps tx ll,bytes rx ll,bytes tx ll,chain rssi,channel,collisions,connections,crypt,cx ago,cx time (us),device,dhcp (ms),down,entity id,gateway ip,hardware,ip,ipv6 address,ipv6 gateway,key/phrase,login-fail,login-ok,logout-fail,logout-ok,mac,mask,misc,mode,mtu,no cx (us),noise,parent dev,phantom,port,port type,pps rx,pps tx,qlen,reset,retry failed,rx bytes,rx crc,rx drop,rx errors,rx fifo,rx frame,rx length,rx miss,rx over,rx pkts,rx-rate,sec,signal,ssid,status,time-stamp,tx abort,tx bytes,tx crr,tx errors,tx fifo,tx hb,tx pkts,tx wind,tx-failed %,tx-rate,wifi retries,timestamp,eid
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,58322,58322,59108,59108,77256,78296,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,77256,0,0,0,0,0,0,0,0,52,576.4 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:35.976,0,78296,0,0,0,0,52,0,38.82352828979492,245 Mbps,33,1722015875932522.8,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,57379,57379,57379,57379,74228,74228,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,74228,0,0,0,0,0,0,0,0,50,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:35.978,0,74228,0,0,0,0,50,0,21.875,544.3 Mbps,14,1722015875932522.8,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57362,57362,58133,58133,83312,84432,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,83312,0,0,0,0,0,0,0,0,56,720.6 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:36.998,0,84432,0,0,0,0,56,0,37.078651428222656,245 Mbps,33,1722015876932983.8,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56488,56488,56488,56488,80284,80284,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,80284,0,0,0,0,0,0,0,0,54,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:36.999,0,80284,0,0,0,0,54,0,20.58823585510254,680.6 Mbps,14,1722015876932983.8,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57891,57891,58668,58668,90882,92102,-42 -50 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,90882,0,0,0,0,0,0,0,0,61,720.6 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:37.938,0,92102,0,0,0,0,61,0,35.78947448730469,245 Mbps,34,1722015877933350.0,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,57089,57089,57089,57089,87854,87854,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-90 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,87854,0,0,0,0,0,0,0,0,59,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:37.940,0,87854,0,0,0,0,59,0,23.376623153686523,816.7 Mbps,18,1722015877933350.0,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57385,57385,58154,58154,96938,98238,-42 -49 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,96938,0,0,0,0,0,0,0,0,65,720.6 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:38.893,0,98238,0,0,0,0,65,0,36.89320373535156,245 Mbps,38,1722015878933839.2,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56636,56636,56636,56636,93910,93910,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-88 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,93910,0,0,0,0,0,0,0,0,63,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:38.894,0,93910,0,0,0,0,63,0,22.22222137451172,612.5 Mbps,18,1722015878933839.2,1.1.vap0000
0,0,sta0000,0,00:0A:52:25:BD:B4,,0,57600,57600,58371,58371,104508,105908,-42 -50 ,157,0,0,0,0,0,sta0000,0,False,NA,0.0.0.0,AX210,172.16.0.2,fe80::8245:ddff:fe27:1992/64,DELETED,,0,0,0,0,80:45:dd:27:19:92,255.255.255.0,0,802.11an-AX 80 2x2,1500,0,-1 dBm,wiphy9,False,1.1.05,WIFI-STA,4,4,1000,Complete,0,104508,0,0,0,0,0,0,0,0,70,648.5 Mbps,0,-41 dBm,TESTSSID,Authorized,2024-07-26 10:44:39.894,0,105908,0,0,0,0,70,0,38.596492767333984,245 Mbps,44,1722015879935226.5,1.1.sta0000
0,1,vap0000,0,,-1 -1 -1 -1 -1 -1 -1 -1 ,0,56907,56907,56907,56907,101480,101480,-1 -1 -1 -1 -1 -1 -1 -1 ,157,0,0,0,0,0,vap0000,0,False,NA,0.0.0.0,mtk7915,172.16.0.1,fe80::20a:52ff:fe25:bdb4/64,DELETED,,0,0,0,0,00:0a:52:25:bd:b4,255.255.255.0,0,802.11an-BE 80 ,1500,0,-89 dBm,wiphy0,False,1.1.16,WIFI-AP,4,4,1000,Complete,0,101480,0,0,0,0,0,0,0,0,68,918.5 Mbps,0,-27 dBm,TESTSSID,,2024-07-26 10:44:39.895,0,101480,0,0,0,0,68,0,22.727272033691406,612.5 Mbps,20,1722015879935226.5,1.1.vap0000
